up,total
原神,11446588
崩坏星穹铁道,7370823
小潮院长,4026800
老师好我叫何同学,3708745
老番茄,3677331
黑神话悟空,3562676
手工耿,3559062
哦呼w,3441909
衣戈猜想,3201683
明日方舟,3141603
