feature,view,danmaku,reply,favorite,coin,share,like
view,1.0,0.36415618113311,0.40417987342787853,0.607512012651916,0.4121975280004334,0.41798879478398154,0.7462672424859073
danmaku,0.36415618113311,1.0,0.6380478670556792,0.29453516190566154,0.5717950207109234,0.34115579198397844,0.31174924876760685
reply,0.40417987342787853,0.6380478670556792,1.0,0.3481029753363951,0.4994361383372884,0.5916891676339697,0.3878845237632825
favorite,0.607512012651916,0.29453516190566154,0.3481029753363951,1.0,0.6524129379953095,0.5689977979360941,0.6589166768794398
coin,0.4121975280004334,0.5717950207109234,0.4994361383372884,0.6524129379953095,1.0,0.5137949959606477,0.5971224337147796
share,0.41798879478398154,0.34115579198397844,0.5916891676339697,0.5689977979360941,0.5137949959606477,1.0,0.46445077446010347
like,0.7462672424859073,0.31174924876760685,0.3878845237632825,0.6589166768794398,0.5971224337147796,0.46445077446010347,1.0
